StatementCode,Parent Node,Is Parent Standard,Grade,Subject,Sub-Subject,Statement
CCSS.ELA-Literacy.CCRA.R.4,,FALSE,10,English,English Language Arts and Literacy,"Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone."
CCSS.ELA-Literacy.CCRA.R.4,,FALSE,11,English,English Language Arts and Literacy,"Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone."
CCSS.ELA-Literacy.CCRA.R.4,,FALSE,12,English,English Language Arts and Literacy,"Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone."
CCSS.ELA-Literacy.CCRA.R.5,,FALSE,K,English,English Language Arts and Literacy,"Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole."
CCSS.ELA-Literacy.CCRA.R.5,,FALSE,1,English,English Language Arts and Literacy,"Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole."
CCSS.ELA-Literacy.CCRA.R.5,,FALSE,2,English,English Language Arts and Literacy,"Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole."
CCSS.ELA-Literacy.CCRA.R.5,,FALSE,3,English,English Language Arts and Literacy,"Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole."
CCSS.ELA-Literacy.CCRA.R.5,,FALSE,4,English,English Language Arts and Literacy,"Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole."
CCSS.ELA-Literacy.CCRA.R.5,,FALSE,5,English,English Language Arts and Literacy,"Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole."
CCSS.ELA-Literacy.CCRA.R.5,,FALSE,6,English,English Language Arts and Literacy,"Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole."
CCSS.ELA-Literacy.CCRA.R.5,,FALSE,7,English,English Language Arts and Literacy,"Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole."
CCSS.ELA-Literacy.CCRA.R.5,,FALSE,8,English,English Language Arts and Literacy,"Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole."
CCSS.ELA-Literacy.CCRA.R.5,,FALSE,9,English,English Language Arts and Literacy,"Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole."
CCSS.ELA-Literacy.CCRA.R.5,,FALSE,10,English,English Language Arts and Literacy,"Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole."
CCSS.ELA-Literacy.CCRA.R.5,,FALSE,11,English,English Language Arts and Literacy,"Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole."
CCSS.ELA-Literacy.CCRA.R.5,,FALSE,12,English,English Language Arts and Literacy,"Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole."
CCSS.ELA-Literacy.CCRA.R.6,,FALSE,K,English,English Language Arts and Literacy,Assess how point of view or purpose shapes the content and style of a text.
CCSS.ELA-Literacy.CCRA.R.6,,FALSE,1,English,English Language Arts and Literacy,Assess how point of view or purpose shapes the content and style of a text.
CCSS.ELA-Literacy.CCRA.R.6,,FALSE,2,English,English Language Arts and Literacy,Assess how point of view or purpose shapes the content and style of a text.
CCSS.ELA-Literacy.CCRA.R.6,,FALSE,3,English,English Language Arts and Literacy,Assess how point of view or purpose shapes the content and style of a text.
CCSS.ELA-Literacy.CCRA.R.6,,FALSE,4,English,English Language Arts and Literacy,Assess how point of view or purpose shapes the content and style of a text.
CCSS.ELA-Literacy.CCRA.R.6,,FALSE,5,English,English Language Arts and Literacy,Assess how point of view or purpose shapes the content and style of a text.
CCSS.ELA-Literacy.CCRA.R.6,,FALSE,6,English,English Language Arts and Literacy,Assess how point of view or purpose shapes the content and style of a text.
CCSS.ELA-Literacy.CCRA.R.6,,FALSE,7,English,English Language Arts and Literacy,Assess how point of view or purpose shapes the content and style of a text.
CCSS.ELA-Literacy.CCRA.R.6,,FALSE,8,English,English Language Arts and Literacy,Assess how point of view or purpose shapes the content and style of a text.
CCSS.ELA-Literacy.CCRA.R.6,,FALSE,9,English,English Language Arts and Literacy,Assess how point of view or purpose shapes the content and style of a text.
CCSS.ELA-Literacy.CCRA.R.6,,FALSE,10,English,English Language Arts and Literacy,Assess how point of view or purpose shapes the content and style of a text.
CCSS.ELA-Literacy.CCRA.R.6,,FALSE,11,English,English Language Arts and Literacy,Assess how point of view or purpose shapes the content and style of a text.
CCSS.ELA-Literacy.CCRA.R.6,,FALSE,12,English,English Language Arts and Literacy,Assess how point of view or purpose shapes the content and style of a text.
CCSS.ELA-Literacy.CCRA.R.7,,FALSE,K,English,English Language Arts and Literacy,"Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.1"
CCSS.ELA-Literacy.CCRA.R.7,,FALSE,1,English,English Language Arts and Literacy,"Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.1"
CCSS.ELA-Literacy.CCRA.R.7,,FALSE,2,English,English Language Arts and Literacy,"Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.1"
CCSS.ELA-Literacy.CCRA.R.7,,FALSE,3,English,English Language Arts and Literacy,"Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.1"
CCSS.ELA-Literacy.CCRA.R.7,,FALSE,4,English,English Language Arts and Literacy,"Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.1"
CCSS.ELA-Literacy.CCRA.R.7,,FALSE,5,English,English Language Arts and Literacy,"Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.1"
CCSS.ELA-Literacy.CCRA.R.7,,FALSE,6,English,English Language Arts and Literacy,"Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.1"
CCSS.ELA-Literacy.CCRA.R.7,,FALSE,7,English,English Language Arts and Literacy,"Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.1"
CCSS.ELA-Literacy.CCRA.R.7,,FALSE,8,English,English Language Arts and Literacy,"Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.1"
CCSS.ELA-Literacy.CCRA.R.7,,FALSE,9,English,English Language Arts and Literacy,"Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.1"
CCSS.ELA-Literacy.CCRA.R.7,,FALSE,10,English,English Language Arts and Literacy,"Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.1"
CCSS.ELA-Literacy.CCRA.R.7,,FALSE,11,English,English Language Arts and Literacy,"Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.1"
CCSS.ELA-Literacy.CCRA.R.7,,FALSE,12,English,English Language Arts and Literacy,"Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.1"
CCSS.ELA-Literacy.CCRA.R.8,,FALSE,K,English,English Language Arts and Literacy,"Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence."
CCSS.ELA-Literacy.CCRA.R.8,,FALSE,1,English,English Language Arts and Literacy,"Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence."
CCSS.ELA-Literacy.CCRA.R.8,,FALSE,2,English,English Language Arts and Literacy,"Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence."
CCSS.ELA-Literacy.CCRA.R.8,,FALSE,3,English,English Language Arts and Literacy,"Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence."
CCSS.ELA-Literacy.CCRA.R.8,,FALSE,4,English,English Language Arts and Literacy,"Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence."
CCSS.ELA-Literacy.CCRA.R.8,,FALSE,5,English,English Language Arts and Literacy,"Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence."
CCSS.ELA-Literacy.CCRA.R.8,,FALSE,6,English,English Language Arts and Literacy,"Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence."
CCSS.ELA-Literacy.CCRA.R.8,,FALSE,7,English,English Language Arts and Literacy,"Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence."
CCSS.ELA-Literacy.CCRA.R.8,,FALSE,8,English,English Language Arts and Literacy,"Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence."
CCSS.ELA-Literacy.CCRA.R.8,,FALSE,9,English,English Language Arts and Literacy,"Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence."
CCSS.ELA-Literacy.CCRA.R.8,,FALSE,10,English,English Language Arts and Literacy,"Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence."
CCSS.ELA-Literacy.CCRA.R.8,,FALSE,11,English,English Language Arts and Literacy,"Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence."
CCSS.ELA-Literacy.CCRA.R.8,,FALSE,12,English,English Language Arts and Literacy,"Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence."
CCSS.ELA-Literacy.CCRA.R.9,,FALSE,K,English,English Language Arts and Literacy,Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.
CCSS.ELA-Literacy.CCRA.R.9,,FALSE,1,English,English Language Arts and Literacy,Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.
CCSS.ELA-Literacy.CCRA.R.9,,FALSE,2,English,English Language Arts and Literacy,Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.
CCSS.ELA-Literacy.CCRA.R.9,,FALSE,3,English,English Language Arts and Literacy,Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.
CCSS.ELA-Literacy.CCRA.R.9,,FALSE,4,English,English Language Arts and Literacy,Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.
CCSS.ELA-Literacy.CCRA.R.9,,FALSE,5,English,English Language Arts and Literacy,Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.
CCSS.ELA-Literacy.CCRA.R.9,,FALSE,6,English,English Language Arts and Literacy,Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.
CCSS.ELA-Literacy.CCRA.R.9,,FALSE,7,English,English Language Arts and Literacy,Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.
CCSS.ELA-Literacy.CCRA.R.9,,FALSE,8,English,English Language Arts and Literacy,Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.
CCSS.ELA-Literacy.CCRA.R.9,,FALSE,9,English,English Language Arts and Literacy,Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.
CCSS.ELA-Literacy.CCRA.R.9,,FALSE,10,English,English Language Arts and Literacy,Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.
CCSS.ELA-Literacy.CCRA.R.9,,FALSE,11,English,English Language Arts and Literacy,Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.
CCSS.ELA-Literacy.CCRA.R.9,,FALSE,12,English,English Language Arts and Literacy,Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.
CCSS.ELA-Literacy.CCRA.R.10,,FALSE,K,English,English Language Arts and Literacy,Read and comprehend complex literary and informational texts independently and proficiently.
CCSS.ELA-Literacy.CCRA.R.10,,FALSE,1,English,English Language Arts and Literacy,Read and comprehend complex literary and informational texts independently and proficiently.
CCSS.ELA-Literacy.CCRA.R.10,,FALSE,2,English,English Language Arts and Literacy,Read and comprehend complex literary and informational texts independently and proficiently.
CCSS.ELA-Literacy.CCRA.R.10,,FALSE,3,English,English Language Arts and Literacy,Read and comprehend complex literary and informational texts independently and proficiently.
CCSS.ELA-Literacy.CCRA.R.10,,FALSE,4,English,English Language Arts and Literacy,Read and comprehend complex literary and informational texts independently and proficiently.
CCSS.ELA-Literacy.CCRA.R.10,,FALSE,5,English,English Language Arts and Literacy,Read and comprehend complex literary and informational texts independently and proficiently.
CCSS.ELA-Literacy.CCRA.R.10,,FALSE,6,English,English Language Arts and Literacy,Read and comprehend complex literary and informational texts independently and proficiently.
CCSS.ELA-Literacy.CCRA.R.10,,FALSE,7,English,English Language Arts and Literacy,Read and comprehend complex literary and informational texts independently and proficiently.
CCSS.ELA-Literacy.CCRA.R.10,,FALSE,8,English,English Language Arts and Literacy,Read and comprehend complex literary and informational texts independently and proficiently.
CCSS.ELA-Literacy.CCRA.R.10,,FALSE,9,English,English Language Arts and Literacy,Read and comprehend complex literary and informational texts independently and proficiently.
CCSS.ELA-Literacy.CCRA.R.10,,FALSE,10,English,English Language Arts and Literacy,Read and comprehend complex literary and informational texts independently and proficiently.
CCSS.ELA-Literacy.CCRA.R.10,,FALSE,11,English,English Language Arts and Literacy,Read and comprehend complex literary and informational texts independently and proficiently.
CCSS.ELA-Literacy.CCRA.R.10,,FALSE,12,English,English Language Arts and Literacy,Read and comprehend complex literary and informational texts independently and proficiently.
CCSS.ELA-Literacy.CCRA.W.1,,FALSE,K,English,English Language Arts and Literacy,Write arguments to support claims in an analysis of substantive topics or texts using valid reasoning and relevant and sufficient evidence. 
CCSS.ELA-Literacy.CCRA.W.1,,FALSE,1,English,English Language Arts and Literacy,Write arguments to support claims in an analysis of substantive topics or texts using valid reasoning and relevant and sufficient evidence. 
CCSS.ELA-Literacy.CCRA.W.1,,FALSE,2,English,English Language Arts and Literacy,Write arguments to support claims in an analysis of substantive topics or texts using valid reasoning and relevant and sufficient evidence. 
CCSS.ELA-Literacy.CCRA.W.1,,FALSE,3,English,English Language Arts and Literacy,Write arguments to support claims in an analysis of substantive topics or texts using valid reasoning and relevant and sufficient evidence. 
CCSS.ELA-Literacy.CCRA.W.1,,FALSE,4,English,English Language Arts and Literacy,Write arguments to support claims in an analysis of substantive topics or texts using valid reasoning and relevant and sufficient evidence. 
CCSS.ELA-Literacy.CCRA.W.1,,FALSE,5,English,English Language Arts and Literacy,Write arguments to support claims in an analysis of substantive topics or texts using valid reasoning and relevant and sufficient evidence. 
CCSS.ELA-Literacy.CCRA.W.1,,FALSE,6,English,English Language Arts and Literacy,Write arguments to support claims in an analysis of substantive topics or texts using valid reasoning and relevant and sufficient evidence. 
CCSS.ELA-Literacy.CCRA.W.1,,FALSE,7,English,English Language Arts and Literacy,Write arguments to support claims in an analysis of substantive topics or texts using valid reasoning and relevant and sufficient evidence. 
CCSS.ELA-Literacy.CCRA.W.1,,FALSE,8,English,English Language Arts and Literacy,Write arguments to support claims in an analysis of substantive topics or texts using valid reasoning and relevant and sufficient evidence. 
CCSS.ELA-Literacy.CCRA.W.1,,FALSE,9,English,English Language Arts and Literacy,Write arguments to support claims in an analysis of substantive topics or texts using valid reasoning and relevant and sufficient evidence. 
CCSS.ELA-Literacy.CCRA.W.1,,FALSE,10,English,English Language Arts and Literacy,Write arguments to support claims in an analysis of substantive topics or texts using valid reasoning and relevant and sufficient evidence. 
CCSS.ELA-Literacy.CCRA.W.1,,FALSE,11,English,English Language Arts and Literacy,Write arguments to support claims in an analysis of substantive topics or texts using valid reasoning and relevant and sufficient evidence. 
CCSS.ELA-Literacy.CCRA.W.1,,FALSE,12,English,English Language Arts and Literacy,Write arguments to support claims in an analysis of substantive topics or texts using valid reasoning and relevant and sufficient evidence. 
CCSS.ELA-Literacy.CCRA.W.2,,FALSE,K,English,English Language Arts and Literacy,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content."
CCSS.ELA-Literacy.CCRA.W.2,,FALSE,1,English,English Language Arts and Literacy,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content."
CCSS.ELA-Literacy.CCRA.W.2,,FALSE,2,English,English Language Arts and Literacy,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content."
CCSS.ELA-Literacy.CCRA.W.2,,FALSE,3,English,English Language Arts and Literacy,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content."
CCSS.ELA-Literacy.CCRA.W.2,,FALSE,4,English,English Language Arts and Literacy,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content."
CCSS.ELA-Literacy.CCRA.W.2,,FALSE,5,English,English Language Arts and Literacy,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content."
CCSS.ELA-Literacy.CCRA.W.2,,FALSE,6,English,English Language Arts and Literacy,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content."
CCSS.ELA-Literacy.CCRA.W.2,,FALSE,7,English,English Language Arts and Literacy,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content."
CCSS.ELA-Literacy.CCRA.W.2,,FALSE,8,English,English Language Arts and Literacy,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content."
CCSS.ELA-Literacy.CCRA.W.2,,FALSE,9,English,English Language Arts and Literacy,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content."
CCSS.ELA-Literacy.CCRA.W.2,,FALSE,10,English,English Language Arts and Literacy,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content."
CCSS.ELA-Literacy.CCRA.W.2,,FALSE,11,English,English Language Arts and Literacy,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content."
CCSS.ELA-Literacy.CCRA.W.2,,FALSE,12,English,English Language Arts and Literacy,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content."
CCSS.ELA-Literacy.CCRA.W.3,,FALSE,K,English,English Language Arts and Literacy,"Write narratives to develop real or imagined experiences or events using effective technique, well-chosen details and well-structured event sequences."
