StatementCode,Parent Standard,Is Parent Standard,Grade,Subject,Sub-Subject,Standard Type,Statement,Column2,Column3,Column4,Column5,Column6,Column7,Column8
CCSS.Math.Content.1.NBT.B.2a,CCSS.Math.Content.1.NBT.B.2,FALSE,1,Mathematics,Mathematics,Common Core,10 can be thought of as a bundle of ten ones &mdash; called a &ldquo;ten.&rdquo;,,,,,,,
CCSS.Math.Content.1.NBT.B.2b,CCSS.Math.Content.1.NBT.B.2,FALSE,1,Mathematics,Mathematics,Common Core,"The numbers from 11 to 19 are composed of a ten and one, two, three, four, five, six, seven, eight, or nine ones.",,,,,,,
CCSS.Math.Content.1.NBT.B.2c,CCSS.Math.Content.1.NBT.B.2,FALSE,1,Mathematics,Mathematics,Common Core,"The numbers 10, 20, 30, 40, 50, 60, 70, 80, 90 refer to one, two, three, four, five, six, seven, eight, or nine tens (and 0 ones).",,,,,,,
CCSS.Math.Content.1.NBT.B.3,,FALSE,1,Mathematics,Mathematics,Common Core,"Compare two two-digit numbers based on meanings of the tens and ones digits, recording the results of comparisons with the symbols &gt;, =, and &lt;.",,,,,,,
CCSS.Math.Content.1.NBT.C.4,,FALSE,1,Mathematics,Mathematics,Common Core,"Add within 100, including adding a two-digit number and a one-digit number, and adding a two-digit number and a multiple of 10, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used. Understand that in adding two-digit numbers, one adds tens and tens, ones and ones; and sometimes it is necessary to compose a ten.",,,,,,,
CCSS.Math.Content.1.NBT.C.5,,FALSE,1,Mathematics,Mathematics,Common Core,"Given a two-digit number, mentally find 10 more or 10 less than the number, without having to count; explain the reasoning used.",,,,,,,
CCSS.Math.Content.1.NBT.C.6,,FALSE,1,Mathematics,Mathematics,Common Core,"Subtract multiples of 10 in the range 10-90 from multiples of 10 in the range 10-90 (positive or zero differences), using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.",,,,,,,
CCSS.Math.Content.1.MD.A.1,,FALSE,1,Mathematics,Mathematics,Common Core,Order three objects by length; compare the lengths of two objects indirectly by using a third object.,,,,,,,
CCSS.Math.Content.1.MD.A.2,,FALSE,1,Mathematics,Mathematics,Common Core,"Express the length of an object as a whole number of length units, by laying multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps. Limit to contexts where the object being measured is spanned by a whole number of length units with no gaps or overlaps.",,,,,,,
CCSS.Math.Content.1.MD.B.3,,FALSE,1,Mathematics,Mathematics,Common Core,Tell and write time in hours and half-hours using analog and digital clocks.,,,,,,,
CCSS.Math.Content.1.MD.C.4,,FALSE,1,Mathematics,Mathematics,Common Core,"Organize, represent, and interpret data with up to three categories; ask and answer questions about the total number of data points, how many in each category, and how many more or less are in one category than in another.",,,,,,,
CCSS.Math.Content.1.G.A.1,,FALSE,1,Mathematics,Mathematics,Common Core,"Distinguish between defining attributes (e.g., triangles are closed and three-sided) versus non-defining attributes (e.g., color, orientation, overall size); build and draw shapes to possess defining attributes.",,,,,,,
CCSS.Math.Content.1.G.A.2,,FALSE,1,Mathematics,Mathematics,Common Core,"Compose two-dimensional shapes (rectangles, squares, trapezoids, triangles, half-circles, and quarter-circles) or three-dimensional shapes (cubes, right rectangular prisms, right circular cones, and right circular cylinders) to create a composite shape, and compose new shapes from the composite shape.1",,,,,,,
CCSS.Math.Content.1.G.A.3,,FALSE,1,Mathematics,Mathematics,Common Core,"Partition circles and rectangles into two and four equal shares, describe the shares using the words halves, fourths, and quarters, and use the phrases half of, fourth of, and quarter of. Describe the whole as two of, or four of the shares. Understand for these examples that decomposing into more equal shares creates smaller shares.",,,,,,,
CCSS.Math.Content.2.OA.A.1,,FALSE,2,Mathematics,Mathematics,Common Core,"Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.1",,,,,,,
CCSS.Math.Content.2.OA.B.2,,FALSE,2,Mathematics,Mathematics,Common Core,"Fluently add and subtract within 20 using mental strategies.2 By end of Grade 2, know from memory all sums of two one-digit numbers.",,,,,,,
CCSS.Math.Content.2.OA.C.3,,FALSE,2,Mathematics,Mathematics,Common Core,"Determine whether a group of objects (up to 20) has an odd or even number of members, e.g., by pairing objects or counting them by 2s; write an equation to express an even number as a sum of two equal addends.",,,,,,,
CCSS.Math.Content.2.OA.C.4,,FALSE,2,Mathematics,Mathematics,Common Core,Use addition to find the total number of objects arranged in rectangular arrays with up to 5 rows and up to 5 columns; write an equation to express the total as a sum of equal addends.,,,,,,,
CCSS.Math.Content.2.NBT.A.1,,TRUE,2,Mathematics,Mathematics,Common Core,"Understand that the three digits of a three-digit number represent amounts of hundreds, tens, and ones; e.g., 706 equals 7 hundreds, 0 tens, and 6 ones. Understand the following as special cases:",,,,,,,
CCSS.Math.Content.2.NBT.A.1a,CCSS.Math.Content.2.NBT.A.1,FALSE,2,Mathematics,Mathematics,Common Core,100 can be thought of as a bundle of ten tens &mdash; called a &ldquo;hundred.&rdquo;,,,,,,,
CCSS.Math.Content.2.NBT.A.1b,CCSS.Math.Content.2.NBT.A.1,FALSE,2,Mathematics,Mathematics,Common Core,"The numbers 100, 200, 300, 400, 500, 600, 700, 800, 900 refer to one, two, three, four, five, six, seven, eight, or nine hundreds (and 0 tens and 0 ones).",,,,,,,
CCSS.Math.Content.2.NBT.A.2,,FALSE,2,Mathematics,Mathematics,Common Core,"Count within 1000; skip-count by 5s, 10s, and 100s.",,,,,,,
CCSS.Math.Content.2.NBT.A.3,,FALSE,2,Mathematics,Mathematics,Common Core,"Read and write numbers to 1000 using base-ten numerals, number names, and expanded form.",,,,,,,
CCSS.Math.Content.2.NBT.A.4,,FALSE,2,Mathematics,Mathematics,Common Core,"Compare two three-digit numbers based on meanings of the hundreds, tens, and ones digits, using &gt;, =, and &lt; symbols to record the results of comparisons.",,,,,,,
CCSS.Math.Content.2.NBT.B.5,,FALSE,2,Mathematics,Mathematics,Common Core,"Fluently add and subtract within 100 using strategies based on place value, properties of operations, and/or the relationship between addition and subtraction.",,,,,,,
CCSS.Math.Content.2.NBT.B.6,,FALSE,2,Mathematics,Mathematics,Common Core,Add up to four two-digit numbers using strategies based on place value and properties of operations.,,,,,,,
CCSS.Math.Content.2.NBT.B.7,,FALSE,2,Mathematics,Mathematics,Common Core,"Add and subtract within 1000, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method. Understand that in adding or subtracting three-digit numbers, one adds or subtracts hundreds and hundreds, tens and tens, ones and ones; and sometimes it is necessary to compose or decompose tens or hundreds.",,,,,,,
CCSS.Math.Content.2.NBT.B.8,,FALSE,2,Mathematics,Mathematics,Common Core,"Mentally add 10 or 100 to a given number 100&ndash;900, and mentally subtract 10 or 100 from a given number 100&ndash;900.",,,,,,,
CCSS.Math.Content.2.NBT.B.9,,FALSE,2,Mathematics,Mathematics,Common Core,"Explain why addition and subtraction strategies work, using place value and the properties of operations.1",,,,,,,
CCSS.Math.Content.2.MD.A.1,,FALSE,2,Mathematics,Mathematics,Common Core,"Measure the length of an object by selecting and using appropriate tools such as rulers, yardsticks, meter sticks, and measuring tapes.",,,,,,,
CCSS.Math.Content.2.MD.A.2,,FALSE,2,Mathematics,Mathematics,Common Core,"Measure the length of an object twice, using length units of different lengths for the two measurements; describe how the two measurements relate to the size of the unit chosen.",,,,,,,
CCSS.Math.Content.2.MD.A.3,,FALSE,2,Mathematics,Mathematics,Common Core,"Estimate lengths using units of inches, feet, centimeters, and meters.",,,,,,,
CCSS.Math.Content.2.MD.A.4,,FALSE,2,Mathematics,Mathematics,Common Core,"Measure to determine how much longer one object is than another, expressing the length difference in terms of a standard length unit.",,,,,,,
CCSS.Math.Content.2.MD.B.5,,FALSE,2,Mathematics,Mathematics,Common Core,"Use addition and subtraction within 100 to solve word problems involving lengths that are given in the same units, e.g., by using drawings (such as drawings of rulers) and equations with a symbol for the unknown number to represent the problem.",,,,,,,
CCSS.Math.Content.2.MD.B.6,,FALSE,2,Mathematics,Mathematics,Common Core,"Represent whole numbers as lengths from 0 on a number line diagram with equally spaced points corresponding to the numbers 0, 1, 2, ..., and represent whole-number sums and differences within 100 on a number line diagram.",,,,,,,
CCSS.Math.Content.2.MD.C.7,,FALSE,2,Mathematics,Mathematics,Common Core,"Tell and write time from analog and digital clocks to the nearest five minutes, using a.m. and p.m.",,,,,,,
CCSS.Math.Content.2.MD.C.8,,FALSE,2,Mathematics,Mathematics,Common Core,"Solve word problems involving dollar bills, quarters, dimes, nickels, and pennies, using $ and &cent; symbols appropriately. Example: If you have 2 dimes and 3 pennies, how many cents do you have?",,,,,,,
CCSS.Math.Content.2.MD.D.9,,FALSE,2,Mathematics,Mathematics,Common Core,"Generate measurement data by measuring lengths of several objects to the nearest whole unit, or by making repeated measurements of the same object. Show the measurements by making a line plot, where the horizontal scale is marked off in whole-number units.",,,,,,,
CCSS.Math.Content.2.MD.D.10,,FALSE,2,Mathematics,Mathematics,Common Core,"Draw a picture graph and a bar graph (with single-unit scale) to represent a data set with up to four categories. Solve simple put-together, take-apart, and compare problems1 using information presented in a bar graph.",,,,,,,
CCSS.Math.Content.2.G.A.1,,FALSE,2,Mathematics,Mathematics,Common Core,"Recognize and draw shapes having specified attributes, such as a given number of angles or a given number of equal faces.1 Identify triangles, quadrilaterals, pentagons, hexagons, and cubes.",,,,,,,
CCSS.Math.Content.2.G.A.2,,FALSE,2,Mathematics,Mathematics,Common Core,Partition a rectangle into rows and columns of same-size squares and count to find the total number of them.,,,,,,,
CCSS.Math.Content.2.G.A.3,,FALSE,2,Mathematics,Mathematics,Common Core,"Partition circles and rectangles into two, three, or four equal shares, describe the shares using the words halves, thirds, half of, a third of, etc., and describe the whole as two halves, three thirds, four fourths. Recognize that equal shares of identical wholes need not have the same shape.",,,,,,,
CCSS.Math.Content.3.OA.A.1,,FALSE,3,Mathematics,Mathematics,Common Core,"Interpret products of whole numbers, e.g., interpret 5 &times; 7 as the total number of objects in 5 groups of 7 objects each. For example, describe a context in which a total number of objects can be expressed as 5 &times; 7.",,,,,,,
CCSS.Math.Content.3.OA.A.2,,FALSE,3,Mathematics,Mathematics,Common Core,"Interpret whole-number quotients of whole numbers, e.g., interpret 56 &divide; 8 as the number of objects in each share when 56 objects are partitioned equally into 8 shares, or as a number of shares when 56 objects are partitioned into equal shares of 8 objects each. For example, describe a context in which a number of&nbsp; shares or a number of groups can be expressed as 56 &divide; 8.",,,,,,,
CCSS.Math.Content.3.OA.A.3,,FALSE,3,Mathematics,Mathematics,Common Core,"Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.1",,,,,,,
CCSS.Math.Content.3.OA.A.4,,FALSE,3,Mathematics,Mathematics,Common Core,"Determine the unknown whole number in a multiplication or division equation relating three whole numbers. For example, determine the unknown number that makes the equation true in each of the equations 8 &times; ? = 48, 5 = _ &divide; 3, 6 &times; 6 = ?",,,,,,,
CCSS.Math.Content.3.OA.B.5,,FALSE,3,Mathematics,Mathematics,Common Core,"Apply properties of operations as strategies to multiply and divide.2 Examples: If 6 &times; 4 = 24 is known, then 4 &times; 6 = 24 is also known. (Commutative property of multiplication.) 3 &times; 5 &times; 2 can be found by 3 &times; 5 = 15, then 15 &times; 2 = 30, or by 5 &times; 2 = 10, then 3 &times; 10 = 30. (Associative property of multiplication.) Knowing that 8 &times; 5 = 40 and 8 &times; 2 = 16, one can find 8 &times; 7 as 8 &times; (5 + 2) = (8 &times; 5) + (8 &times; 2) = 40 + 16 = 56. (Distributive property.)",,,,,,,
CCSS.Math.Content.3.OA.B.6,,FALSE,3,Mathematics,Mathematics,Common Core,"Understand division as an unknown-factor problem. For example, find 32 &divide; 8 by finding the number that makes 32 when multiplied by 8.",,,,,,,
CCSS.Math.Content.3.OA.C.7,,FALSE,3,Mathematics,Mathematics,Common Core,"Fluently multiply and divide within 100, using strategies such as the relationship between multiplication and division (e.g., knowing that 8 &times; 5 = 40, one knows 40 &divide; 5 = 8) or properties of operations. By the end of Grade 3, know from memory all products of two one-digit numbers.",,,,,,,
CCSS.Math.Content.3.OA.D.8,,FALSE,3,Mathematics,Mathematics,Common Core,Solve two-step word problems using the four operations. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.3,,,,,,,
CCSS.Math.Content.3.OA.D.9,,FALSE,3,Mathematics,Mathematics,Common Core,"Identify arithmetic patterns (including patterns in the addition table or multiplication table), and explain them using properties of operations. For example, observe that 4 times a number is always even, and explain why 4 times a number can be decomposed into two equal addends.",,,,,,,
CCSS.Math.Content.3.NBT.A.1,,FALSE,3,Mathematics,Mathematics,Common Core,Use place value understanding to round whole numbers to the nearest 10 or 100.,,,,,,,
CCSS.Math.Content.3.NBT.A.2,,FALSE,3,Mathematics,Mathematics,Common Core,"Fluently add and subtract within 1000 using strategies and algorithms based on place value, properties of operations, and/or the relationship between addition and subtraction.",,,,,,,
CCSS.Math.Content.3.NBT.A.3,,FALSE,3,Mathematics,Mathematics,Common Core,"Multiply one-digit whole numbers by multiples of 10 in the range 10&ndash;90 (e.g., 9 &times; 80, 5 &times; 60) using strategies based on place value and properties of operations.",,,,,,,
CCSS.Math.Content.3.NF.A.1,,FALSE,3,Mathematics,Mathematics,Common Core,Understand a fraction 1/b as the quantity formed by 1 part when a whole is partitioned into b equal parts; understand a fraction a/b as the quantity formed by a parts of size 1/b.,,,,,,,
CCSS.Math.Content.3.NF.A.2,,TRUE,3,Mathematics,Mathematics,Common Core,Understand a fraction as a number on the number line; represent fractions on a number line diagram.,,,,,,,
CCSS.Math.Content.3.NF.A.2a,CCSS.Math.Content.3.NF.A.2,FALSE,3,Mathematics,Mathematics,Common Core,Represent a fraction 1/b on a number line diagram by defining the interval from 0 to 1 as the whole and partitioning it into b equal parts. Recognize that each part has size 1/b and that the endpoint of the part based at 0 locates the number 1/b on the number line.,,,,,,,
CCSS.Math.Content.3.NF.A.2b,CCSS.Math.Content.3.NF.A.2,FALSE,3,Mathematics,Mathematics,Common Core,Represent a fraction a/b on a number line diagram by marking off a lengths 1/b from 0. Recognize that the resulting interval has size a/b and that its endpoint locates the number a/b on the number line.,,,,,,,
CCSS.Math.Content.3.NF.A.3,,TRUE,3,Mathematics,Mathematics,Common Core,"Explain equivalence of fractions in special cases, and compare fractions by reasoning about their size.",,,,,,,
CCSS.Math.Content.3.NF.A.3a,CCSS.Math.Content.3.NF.A.3,FALSE,3,Mathematics,Mathematics,Common Core,"Understand two fractions as equivalent (equal) if they are the same size, or the same point on a number line.",,,,,,,
CCSS.Math.Content.3.NF.A.3b,CCSS.Math.Content.3.NF.A.3,FALSE,3,Mathematics,Mathematics,Common Core,"Recognize and generate simple equivalent fractions, e.g., 1/2 = 2/4, 4/6 = 2/3). Explain why the fractions are equivalent, e.g., by using a visual fraction model.",,,,,,,
CCSS.Math.Content.3.NF.A.3c,CCSS.Math.Content.3.NF.A.3,FALSE,3,Mathematics,Mathematics,Common Core,"Express whole numbers as fractions, and recognize fractions that are equivalent to whole numbers. Examples: Express 3 in the form 3 = 3/1; recognize that 6/1 = 6; locate 4/4 and 1 at the same point of a number line diagram.",,,,,,,
CCSS.Math.Content.3.NF.A.3d,CCSS.Math.Content.3.NF.A.3,FALSE,3,Mathematics,Mathematics,Common Core,"Compare two fractions with the same numerator or the same denominator by reasoning about their size. Recognize that comparisons are valid only when the two fractions refer to the same whole. Record the results of comparisons with the symbols &gt;, =, or &lt;, and justify the conclusions, e.g., by using a visual fraction model.",,,,,,,
CCSS.Math.Content.3.MD.A.1,,FALSE,3,Mathematics,Mathematics,Common Core,"Tell and write time to the nearest minute and measure time intervals in minutes. Solve word problems involving addition and subtraction of time intervals in minutes, e.g., by representing the problem on a number line diagram.",,,,,,,
CCSS.Math.Content.3.MD.A.2,,FALSE,3,Mathematics,Mathematics,Common Core,"Measure and estimate liquid volumes and masses of objects using standard units of grams (g), kilograms (kg), and liters (l).1 Add, subtract, multiply, or divide to solve one-step word problems involving masses or volumes that are given in the same units, e.g., by using drawings (such as a beaker with a measurement scale) to represent the problem.2",,,,,,,
CCSS.Math.Content.3.MD.B.3,,FALSE,3,Mathematics,Mathematics,Common Core,"Draw a scaled picture graph and a scaled bar graph to represent a data set with several categories. Solve one- and two-step &ldquo;how many more&rdquo; and &ldquo;how many less&rdquo; problems using information presented in scaled bar graphs. For example, draw a bar graph in which each square in the bar graph might represent 5 pets.",,,,,,,
CCSS.Math.Content.3.MD.B.4,,FALSE,3,Mathematics,Mathematics,Common Core,"Generate measurement data by measuring lengths using rulers marked with halves and fourths of an inch. Show the data by making a line plot, where the horizontal scale is marked off in appropriate units&mdash; whole numbers, halves, or quarters.",,,,,,,
CCSS.Math.Content.3.MD.C.5,,TRUE,3,Mathematics,Mathematics,Common Core,Recognize area as an attribute of plane figures and understand concepts of area measurement.,,,,,,,
CCSS.Math.Content.3.MD.C.5a,CCSS.Math.Content.3.MD.C.5,FALSE,3,Mathematics,Mathematics,Common Core,"A square with side length 1 unit, called &ldquo;a unit square,&rdquo; is said to have &ldquo;one square unit&rdquo; of area, and can be used to measure area.",,,,,,,
CCSS.Math.Content.3.MD.C.5b,CCSS.Math.Content.3.MD.C.5,FALSE,3,Mathematics,Mathematics,Common Core,A plane figure which can be covered without gaps or overlaps by n unit squares is said to have an area of n square units.,,,,,,,
CCSS.Math.Content.3.MD.C.6,,FALSE,3,Mathematics,Mathematics,Common Core,"Measure areas by counting unit squares (square cm, square m, square in, square ft, and improvised units).",,,,,,,
CCSS.Math.Content.3.MD.C.7,,TRUE,3,Mathematics,Mathematics,Common Core,Relate area to the operations of multiplication and addition.,,,,,,,
CCSS.Math.Content.3.MD.C.7a,CCSS.Math.Content.3.MD.C.7,FALSE,3,Mathematics,Mathematics,Common Core,"Find the area of a rectangle with whole-number side lengths by tiling it, and show that the area is the same as would be found by multiplying the side lengths.",,,,,,,
CCSS.Math.Content.3.MD.C.7b,CCSS.Math.Content.3.MD.C.7,FALSE,3,Mathematics,Mathematics,Common Core,"Multiply side lengths to find areas of rectangles with whole-number side lengths in the context of solving real world and mathematical problems, and represent whole-number products as rectangular areas in mathematical reasoning.",,,,,,,
CCSS.Math.Content.3.MD.C.7c,CCSS.Math.Content.3.MD.C.7,FALSE,3,Mathematics,Mathematics,Common Core,Use tiling to show in a concrete case that the area of a rectangle with whole-number side lengths a and b + c is the sum of a &times; b and a &times; c. Use area models to represent the distributive property in mathematical reasoning.,,,,,,,
CCSS.Math.Content.3.MD.C.7d,CCSS.Math.Content.3.MD.C.7,FALSE,3,Mathematics,Mathematics,Common Core,"Recognize area as additive. Find areas of rectilinear figures by decomposing them into non-overlapping rectangles and adding the areas of the non-overlapping parts, applying this technique to solve real world problems.",,,,,,,
CCSS.Math.Content.3.MD.D.8,,FALSE,3,Mathematics,Mathematics,Common Core,"Solve real world and mathematical problems involving perimeters of polygons, including finding the perimeter given the side lengths, finding an unknown side length, and exhibiting rectangles with the same perimeter and different areas or with the same area and different perimeters.",,,,,,,
